date,stock_price,premium,premium_protection,strike_date,strike_price,strike_margin,time_to_expire_days,volume_traded,implied_volatility
2022-01-03,99.93,1.03,0.010307215050535374,2022-02-18,108.0,0.08075652957069941,46,73993.28,0.23324462222401093
2022-01-03,99.93,0.83,0.008305814069848894,2022-01-21,104.0,0.040728509956969805,18,364439.35,0.24108470542240484
2022-01-03,99.93,3.64,0.03642549784849394,2022-03-18,104.0,0.040728509956969805,74,61.9,0.25585694040206464
2022-01-03,99.93,1.95,0.019513659561693184,2022-01-21,101.0,0.010707495246672602,18,1331075.72,0.25275266919983286
2022-01-03,99.93,0.92,0.00920644451115781,2022-03-18,113.0,0.13079155408786142,74,920.0,0.23225684344271358
2022-01-03,99.93,1.92,0.01921344941459021,2022-02-18,105.0,0.05073551486040221,46,157087.04,0.2441388160879812
2022-01-03,99.93,1.55,0.015510857600320224,2022-02-18,106.0,0.06074251976383461,46,190576.32,0.23790920160548604
2022-01-03,99.93,1.54,0.0154107875512859,2022-01-21,102.0,0.020714500150105005,18,3690364.4,0.25265106918597624
2022-01-03,99.93,0.25,0.0025017512258581004,2022-02-18,114.0,0.14079855899129382,46,92400.12,0.225930831765854
2022-01-03,99.93,1.27,0.012708896227359151,2022-02-18,107.0,0.07074952466726701,46,86932.75,0.23548595390834665
2022-01-03,99.93,4.05,0.04052836985890123,2022-03-18,103.0,0.030721505053537407,74,41340.36,0.25571247405898023
2022-01-03,99.93,1.12,0.011207845491844292,2022-01-21,103.0,0.030721505053537407,18,444751.39,0.24309042080889895
2022-01-03,99.93,2.31,0.023116181326928848,2022-02-18,104.0,0.040728509956969805,46,372641.74,0.24845993983141745
2022-01-03,99.93,6.21,0.06214350045031521,2022-01-21,95.0,-0.04933453417392181,18,1039495.99,0.31773400244111444
2022-01-03,99.93,1.61,0.01611127789452617,2022-03-18,112.0,0.12078454918442902,74,1.61,0.2728924769015155
2022-01-03,99.93,1.5,0.015010507355148603,2022-12-16,140.0,0.40098068648053625,347,1.5,0.22205868204420903
2022-01-03,99.93,2.72,0.027219053337336135,2022-02-18,103.0,0.030721505053537407,46,132972.37,0.2510782636146931
2022-01-03,99.93,16.0,0.16011207845491843,2023-06-16,110.0,0.10077053937756422,529,67.98,0.30151526891158736
2022-01-03,99.93,0.18,0.0018012608826178324,2022-02-18,116.0,0.16081256879815864,46,4104.0,0.23385526116932484
2022-01-03,99.93,3.2,0.032022415690983685,2022-02-18,102.0,0.020714500150105005,46,490917.72,0.2556048095979207
2022-01-03,99.93,3.35,0.03352346642649855,2022-03-18,105.0,0.05073551486040221,74,247955.0,0.26102597605706734
